,top1_acc,top5_acc,top1_sigma,top5_sigma
0,0.56522,0.79066,0.0022169634710567,0.0018194326830086
1,0.8406199999999999,0.9687,0.0016369362577693,0.0007787208742546
2,0.84414,0.96976,0.0016221446322692,0.0007658399623942
3,0.83616,0.9665,0.0016552731158331,0.0008047080215829
4,0.8251999999999999,0.96146,0.0016984991021487,0.0008608677993745
5,0.74434,0.91972,0.0019508867952805,0.001215196458191
6,0.7713800000000001,0.9356,0.0018780463018786,0.0010977489694825
7,0.7559999999999999,0.92806,0.0019207498535728,0.0011555486696803
8,0.76896,0.9337,0.0018849961188288,0.0011126932191758
9,0.7769199999999999,0.93532,0.001861801888494,0.0010999681595391
10,0.78642,0.94186,0.0018328315994657,0.0010465155555461
11,0.79838,0.94934,0.0017942651732673,0.0009807503698699
12,0.80608,0.9531,0.0017681348002909,0.0009455198570098
13,0.8200799999999999,0.96054,0.0017178404675638,0.000870665359366
14,0.83384,0.96594,0.0016646372241422,0.0008111709610187
15,0.8344400000000001,0.96628,0.0016622267378429,0.0008072541309897
16,0.8400799999999999,0.96916,0.0016391802439024,0.0007731609715964
17,0.84122,0.96908,0.0016344351415703,0.0007741311723474
18,0.8580800000000001,0.97788,0.0015606326512027,0.0006577340739234
19,0.85112,0.97156,0.0015919468935865,0.0007433863921272
20,0.8422799999999999,0.96878,0.0016299963288302,0.0007777571806161
21,0.6977800000000001,0.8953,0.0020536945809929,0.0013692180980398
22,0.77294,0.9345,0.0018735194495921,0.0011064334593639
23,0.6773399999999999,0.8748999999999999,0.0020906961730485,0.0014795268838382
24,0.7118000000000001,0.90496,0.0020255407179318,0.0013115441159183
25,0.73456,0.9151,0.0019747486240025,0.0012465311067117
26,0.76506,0.93522,0.0018960126391983,0.0011007592979393
27,0.8370000000000001,0.96722,0.0016518535044004,0.0007963098844043
28,0.71878,0.90286,0.0020106482118958,0.001324415496738
29,0.72154,0.90822,0.0020045948638066,0.0012911733547436
30,0.74042,0.9134,0.0019606030888479,0.0012577793129162
31,0.75274,0.92566,0.0019293651411798,0.0011731458937404
32,0.6766800000000001,0.87402,0.0020918134601345,0.001483974660161
33,0.8005800000000001,0.94944,0.0017869060613249,0.0009798335205533
34,0.8271599999999999,0.96196,0.001690954371945,0.0008554876784618
35,0.7704000000000001,0.9344,0.0018808712874622,0.0011072184969553
36,0.79668,0.94922,0.0017998943168975,0.000981849190049
37,0.80622,0.95248,0.0017676499178287,0.0009514394315982
38,0.83014,0.96288,0.001679330702393,0.0008454833599781
39,0.78364,0.93992,0.0018414578485536,0.0010627360311949
40,0.81196,0.9543,0.0017474607772422,0.0009339326528181
41,0.72834,0.9095,0.0019892754681039,0.001283041308766
42,0.7486400000000001,0.92322,0.0019399904659559,0.0011906706647935
43,0.75212,0.92348,0.0019309868233626,0.0011888203362998
44,0.77522,0.93826,0.0018668366377377,0.0010763658523011
45,0.7934399999999999,0.94686,0.0018104859369793,0.0010031564224985
46,0.81682,0.95678,0.0017298848955927,0.000909417743394
47,0.88228,0.98682,0.0014412633458185,0.0005100252464339
48,0.86068,0.97844,0.001548611879071,0.0006495408593768
49,0.8042400000000001,0.9524,0.0017744746963538,0.000952199978996
50,0.8288599999999999,0.96328,0.0016843461663209,0.0008410902638837
51,0.86012,0.98054,0.0015512162041443,0.0006177589886031
52,0.83976,0.97244,0.0016405068875198,0.0007321263060428
53,0.7795000000000001,0.93966,0.0018540752411916,0.0010648857628872
54,0.80876,0.95444,0.0017587908482818,0.0009325694226168
55,0.80878,0.9534,0.0017587206236352,0.0009426392735293
56,0.83368,0.96498,0.0016652787009987,0.0008221143424122
57,0.8683799999999999,0.98362,0.0015119270855434,0.0005676565088149
58,0.84622,0.9748,0.001613268183533,0.0007009273856827
59,0.78948,0.94576,0.001823191320734,0.0010128970569608
60,0.81982,0.95972,0.0017188087013975,0.0008792897315447
61,0.7404600000000001,0.91716,0.0019605049778054,0.0012327005670478
62,0.75804,0.92742,0.0019152825295501,0.0011602770669111
63,0.7642,0.93136,0.0018984117572328,0.0011307391423312
64,0.78828,0.94502,0.0018269901017794,0.0010193841238708
65,0.8003199999999999,0.95048,0.0017877801744062,0.0009702347097481
66,0.82828,0.9633,0.001686607491979,0.0008408699067037
67,0.7931199999999999,0.94526,0.0018115223741372,0.0010172859224426
68,0.8283400000000001,0.96228,0.0016863738873689,0.0008520234926338
69,0.83246,0.96454,0.0016701517799289,0.0008270742215786
70,0.77618,0.93698,0.0018639989678108,0.0010867242483721
71,0.8119799999999999,0.9534,0.0017473893647381,0.0009426392735293
72,0.77374,0.93546,0.0018711836489238,0.0010988593030957
73,0.8188599999999999,0.9578,0.0017223722036772,0.0008991013291059
74,0.7831199999999999,0.94046,0.0018430575986658,0.0010582531681974
75,0.82284,0.96002,0.0017074796303323,0.0008761461019715
76,0.69758,0.89078,0.002054079568079,0.001394926461144
77,0.7331399999999999,0.9142,0.0019781088969012,0.0012525043712498
78,0.7613,0.92862,0.0019064223561425,0.0011513895570136
79,0.8085800000000001,0.95434,0.0017594225393577,0.0009335434044542
80,0.60552,0.81746,0.0021857059710766,0.001727536676311
81,0.6936199999999999,0.8831600000000001,0.0020616076037888,0.0014365821549775
82,0.7299599999999999,0.91086,0.0019855397170542,0.0012743159765144
83,0.7623000000000001,0.93006,0.0019036738691277,0.0011405998106259
84,0.58092,0.8042,0.0022065899193098,0.0017746118448832
85,0.58178,0.80624,0.0022059557185038,0.0017675806199435
86,0.8358199999999999,0.9664,0.0016566528157704,0.000805866490183
87,0.83196,0.9636,0.0016721396975133,0.000837556445859
88,0.81474,0.95776,0.0017374621285081,0.0008995085591588
89,0.84112,0.96864,0.0016348525658297,0.0007794427547934
90,0.8371200000000001,0.96816,0.0016513637128143,0.0007851906061587
91,0.82072,0.96132,0.0017154514367944,0.0008623671793383
92,0.7037,0.8981,0.0020420886856353,0.001352896078788
93,0.6901999999999999,0.88628,0.0020679649900324,0.0014197729508622
94,0.7158599999999999,0.90374,0.0020169504723715,0.0013190452031678
95,0.69928,0.8924599999999999,0.0020507924400094,0.001385461283472
96,0.7336,0.91516,0.0019770232168591,0.0012461314088008
97,0.71592,0.90382,0.0020168220228865,0.0013185553276218
98,0.7421800000000001,0.91842,0.0019562660739275,0.0012241299244769
99,0.7237600000000001,0.90876,0.0019996572826362,0.0012877520133938
100,0.81072,0.95318,0.0017518737488757,0.0009447527464897
101,0.85304,0.9765,0.0015834314535211,0.0006774621760659
102,0.8188599999999999,0.9618,0.0017223722036772,0.0008572136256499
103,0.75912,0.92466,0.001912364115957,0.001180371843107
104,0.8855200000000001,0.98694,0.0014238983783964,0.0005077289907027
105,0.85708,0.9773,0.0015652084436265,0.0006661037456732
106,0.7966200000000001,0.94638,0.0018000920843112,0.0010074214172827
107,0.88064,0.98512,0.0014499185521952,0.0005414533331691
108,0.85146,0.97422,0.0015904456507532,0.0007087367861202
109,0.76972,0.9307,0.0018828229953981,0.0011357597457208
110,0.78848,0.94284,0.0018263586153874,0.0010381978077418
111,0.8251000000000001,0.9602,0.0016988819264445,0.0008742535101445
112,0.78468,0.94086,0.0018382453459753,0.001054916682966
113,0.8160200000000001,0.95758,0.0017328090466061,0.000901338378191
